FID,address,new_address,confirm,suspect,district,date,lng,lat,gaode_lon,gaode_lat,gps_lon,gps_lat
165,同德小区,同德小区(二曜小路),1,7,江岸区,2020/2/10,114.31051,30.601732,114.30393,30.596074,114.298487,30.59848484
216,半岛豪庭,半岛豪庭(京汉大道),2,4,江岸区,2020/2/11,114.309734,30.608233,114.303087,30.602516,114.2976445,30.60492573
217,太平街110号,四唯街道太平社区,1,1,江岸区,2020/2/11,114.307193,30.605519,114.302024,30.602389,114.296583,30.60480055
218,进化村110号,进化村,2,0,江岸区,2020/2/11,114.308999,30.6073,114.302675,30.601328,114.2972332,30.60373889
219,进化村113号,进化村113号,1,0,江岸区,2020/2/11,114.308999,30.6073,114.302258,30.601782,114.2968167,30.6041934
220,进化村114号,进化村114号,1,0,江岸区,2020/2/11,114.308999,30.6073,114.302027,30.601834,114.296586,30.60424577
221,进化村117号,进化村117号,1,0,江岸区,2020/2/11,114.308999,30.6073,114.302268,30.601649,114.2968267,30.60406044
224,九运京汉名都A座,九运京汉名都,3,5,江岸区,2020/2/11,114.308642,30.606245,114.301956,30.600942,114.2965152,30.60335424
229,越秀星汇君泊,越秀星汇君泊,13,5,江岸区,2020/2/11,114.288174,30.654221,114.281597,30.64836,114.2761728,30.65078132
230,尚湖熙园,尚湖熙园,2,0,江岸区,2020/2/11,114.284681,30.652155,114.278232,30.64638,114.27281,30.64880583
231,梦湖香郡,梦湖香郡,1,1,江岸区,2020/2/11,114.278609,30.655563,114.272235,30.649637,114.2668154,30.652067
233,东方明珠小区,新地·东方明珠,2,0,江岸区,2020/2/11,114.392741,30.727185,114.298723,30.637937,114.2932831,30.64033926
234,东方华府&天上人间,天上人间,3,15,江岸区,2020/2/11,114.304894,30.640643,114.298321,30.634948,114.2928818,30.63735217
236,连城小区,江岸区连城小区,2,3,江岸区,2020/2/11,114.329172,30.638593,114.322598,30.632722,114.3171237,30.635084
239,车站街三德社区,三德里(车站路),10,28,江岸区,2020/2/11,114.306115,30.597741,114.299516,30.592049,114.2940791,30.59446868
240,保成社区,保成社区,22,26,江岸区,2020/2/11,114.29722,30.589374,114.289799,30.58312,114.2843736,30.5855576
282,城市广场,长青广场,5,0,江岸区,2020/2/12,114.580832,30.675262,114.297658,30.591176,114.2922234,30.59359896
320,青青美庐,青青美庐,2,7,江岸区,2020/2/12,114.296419,30.637666,114.289848,30.631966,114.2844184,30.63438398
321,上海公馆小区,光明上海公馆,7,3,江岸区,2020/2/12,114.292009,30.658889,114.28513,30.653027,114.2797027,30.65544206
322,东勤佳苑,东勤佳苑,2,0,江岸区,2020/2/12,114.328848,30.669434,114.322627,30.663374,114.3171499,30.66572256
323,堤角小区,堤角小区,28,0,江岸区,2020/2/12,114.342993,30.661972,114.336643,30.655852,114.3311437,30.65817719
324,东方恒星园小区,东方恒星园,1,8,江岸区,2020/2/12,114.29384,30.639395,114.287205,30.633614,114.2817777,30.63603482
429,机场社区协调中心,王家墩机场小区,1,0,江岸区,2020/2/13,114.256551,30.592537,114.277762,30.591012,114.2723451,30.59346104
431,花桥街长惠社区,花桥街花桥社区,24,4,江岸区,2020/2/13,114.289438,30.628679,114.284788,30.611813,114.2793646,30.61424592
433,同安家园,同安家园,12,55,江岸区,2020/2/13,114.307305,30.656127,114.300663,30.650494,114.2952196,30.6528877
434,汉口花园社区,汉口花园,51,7,江岸区,2020/2/13,114.140229,30.332958,114.266403,30.632657,114.260986,30.63509857
435,红桥新城,红桥新城,7,12,江岸区,2020/2/13,114.289294,30.629676,114.282715,30.623876,114.2772921,30.62630647
584,日月星城,日月星城,10,2,江岸区,2020/2/14,114.29006,30.639998,114.283519,30.634551,114.2780946,30.63697603
585,中一花园,中一花园,9,3,江岸区,2020/2/14,114.288247,30.640517,114.280075,30.634633,114.274653,30.63706193
586,国际百纳,国际百纳,4,6,江岸区,2020/2/14,114.289812,30.642542,114.283617,30.63788,114.2781922,30.64030349
587,君安花园,富士·君安花园,16,0,江岸区,2020/2/14,114.277198,30.645552,114.270587,30.639542,114.2651688,30.6419777
588,星悦城一期,星悦城(秋桂街),9,31,江岸区,2020/2/14,114.277191,30.643982,114.270644,30.638009,114.2652259,30.64044532
592,统建新干线小区,统建新干线,2,0,江岸区,2020/2/14,114.345824,30.671912,114.33944,30.665758,114.3339354,30.66807351
594,富强天合园,富强·天合园,3,3,江岸区,2020/2/14,114.28631,30.648285,114.279709,30.642443,114.2742865,30.64486898
595,富强天合熙园,富强·天合熙园,2,1,江岸区,2020/2/14,114.282284,30.644535,114.275707,30.638564,114.270287,30.64099571
596,融创公园壹号二期,融创公园壹号,2,1,江岸区,2020/2/14,114.2829,30.645747,114.276876,30.639815,114.2714553,30.64224504
688,军安社区,江岸君安花园,4,2,江岸区,2020/2/14,114.584877,30.66244,114.270714,30.63961,114.2652957,30.64204558
726,安居苑,安居苑,6,8,江岸区,2020/2/15,114.327428,30.654288,114.321879,30.648761,114.3164044,30.65111746
739,美联社区,美联·公园前,32,25,江岸区,2020/2/15,114.293779,30.628591,114.334562,30.661535,114.3290656,30.66386159
740,黄浦社区,花桥街黄浦社区(黄浦大街),21,24,江岸区,2020/2/15,114.310714,30.621024,114.292821,30.620945,114.2873893,30.62336339
741,塔子湖社区,塔子湖街道中星社区,23,0,江岸区,2020/2/15,114.290543,30.663519,114.283393,30.633283,114.2779688,30.63570872
761,同德社区港湾江城,同德小区(二曜小路),3,3,江岸区,2020/2/15,114.200582,30.466009,114.30393,30.596074,114.298487,30.59848484
799,石桥社区,石桥花园,31,0,江岸区,2020/2/16,114.271818,30.632639,114.271828,30.631207,114.2664101,30.63364526
811,安居苑,安居苑,1,2,江岸区,2020/2/16,114.327428,30.654288,114.321879,30.648761,114.3164044,30.65111746
844,华清园,华清园,15,10,江岸区,2020/2/17,114.308104,30.602225,114.301446,30.596595,114.2960062,30.59900978
845,民福金堡,民福金堡,8,1,江岸区,2020/2/17,114.308113,30.600704,114.301211,30.594905,114.2957717,30.59732082
846,中福时代,中福时代,2,0,江岸区,2020/2/17,114.306682,30.601935,114.300171,30.59625,114.2947329,30.598667
847,新直街,新直街,8,16,江岸区,2020/2/17,114.30695,30.602061,114.300505,30.596303,114.2950664,30.59871943
849,和美社区,台北街和美社区,23,27,江岸区,2020/2/17,114.286935,30.601347,114.280386,30.595642,114.2749671,30.59808647
850,宝岛社区,宝岛社区,28,29,江岸区,2020/2/17,114.287538,30.603354,114.281114,30.597619,114.2756945,30.60006189
1040,罗家墩社区,罗家庄社区(建设大道),41,81,江岸区,2020/2/22,114.278975,30.488947,114.302431,30.621241,114.2969878,30.62364425
1099,后湖苑社区,后湖苑社区,37,43,江岸区,2020/2/23,114.29801,30.64278,114.289513,30.639881,114.284083,30.64229607
